    Step    Atoms         KinEng            CPU 
       0        0              0              0 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 1
 - a total of 75 particle templates (mass 2.968805e-07) inserted so far.
 2630000      443  6.5938578e-10      2154.2207 
 2640000      443  7.9991845e-10      2163.9156 
 2650000      443  6.4378425e-10      2173.5685 
 2660000      443  7.3006025e-10      2183.2883 
 2670000      443  7.6252176e-10      2192.9377 
 2680000      443  6.0120036e-10      2202.6031 
 2690000      443  4.8904489e-09      2212.5643 
 2700000      443  1.0364762e-09      2222.9353 
 2710000      443  7.9113927e-10      2232.9999 
 2720000      443  1.5847036e-08      2242.9962 
 2730000      443  2.2118911e-09      2253.8911 
 2740000      443  1.0766627e-09      2264.1052 
 2750000      443   9.503321e-10      2274.0658 
 2760000      443   2.700048e-09      2283.9408 
 2770000      443  1.2036684e-09      2293.9266 
 2780000      443  9.8596504e-10      2303.8577 
 2790000      443   2.215478e-08      2313.7008 
 2800000      443  6.3739453e-10      2324.4106 
 2810000      443  1.9531168e-09      2334.2759 
 2820000      443  3.3150563e-09       2344.216 
 2830000      443  1.6979876e-09      2354.3015 
 2840000      443  2.4039777e-08      2364.2227 
 2850000      443  1.3441459e-09      2374.1384 
 2860000      443  7.9340054e-09      2385.1874 
 2870000      443  3.4061166e-09      2396.0629 
 2880000      443  1.9614029e-08      2406.2737 
 2890000      443  2.6549822e-09       2416.591 
 2900000      443   6.009129e-10      2426.5989 
 2910000      443  6.3777022e-10      2436.7025 
 2920000      443   7.944745e-10      2446.8212 
 2930000      443  9.9950432e-10       2457.109 
 2940000      443  7.4504297e-10      2467.4359 
 2950000      443  5.4787738e-10      2477.6659 
 2960000      443  6.0855659e-10      2487.8063 
 2970000      443  5.9092126e-10      2498.7791 
 2980000      443  7.1203967e-10      2509.8876 
 2990000      443  8.1202889e-10      2520.2482 
 3000000      443    2.92896e-09      2530.6428 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 3000001
 - a total of 525 particle templates (mass 2.078164e-06) inserted so far.
 3010000      518  1.1915721e-09      2540.9143 
 3020000      518  1.0452213e-09      2551.2152 
 3030000      518  1.0831953e-09       2561.586 
 3040000      518  2.7728884e-09      2572.0381 
 3050000      518  1.1730713e-09      2582.5066 
 3060000      518  7.7870444e-10      2592.9329 
 3070000      518  7.1685172e-10      2603.4098 
 3080000      518   1.145513e-09      2613.7717 
 3090000      518  6.7334879e-10      2624.1063 
 3100000      518  5.8619582e-10      2634.9545 
 3110000      518  8.1040029e-10      2645.9204 
 3120000      518  7.7849988e-10      2656.3284 
 3130000      518  7.3488812e-10      2666.7025 
 3140000      518  1.0624934e-09      2677.7969 
 3150000      518  6.3853003e-10      2688.2162 
 3160000      518  2.7763098e-09       2698.628 
 3170000      518  1.5720848e-09      2708.9753 
 3180000      518  3.8791008e-09      2719.4531 
 3190000      518  2.2762881e-09      2730.2564 
 3200000      518  6.7506285e-10       2740.895 
 3210000      518  1.0367704e-09       2751.425 
 3220000      518  1.0552629e-09       2762.506 
 3230000      518  5.4443592e-10      2773.6486 
 3240000      518  4.9401306e-10       2784.281 
 3250000      518  8.4801139e-10      2794.8728 
 3260000      518  1.2792968e-09      2805.5969 
 3270000      518  9.9664919e-10      2816.3314 
 3280000      518  7.6534717e-10      2827.0335 
 3290000      518  6.9991085e-10      2837.7858 
 3300000      518  6.2379536e-10      2848.4074 
 3310000      518  4.1672813e-10      2859.6634 
 3320000      518  5.4009959e-10      2870.2987 
 3330000      518  5.6361316e-10      2881.0073 
 3340000      518  4.7350622e-10      2891.7535 
 3350000      518  4.5453691e-10      2902.3774 
 3360000      518  1.7248764e-09      2913.8305 
 3370000      518  6.6895755e-10      2924.7845 
 3380000      518    5.99063e-10      2935.5139 
 3390000      518   7.640257e-10      2946.2639 
 3400000      518  6.1167285e-10      2957.1888 
 3410000      518  5.4524359e-10       2967.991 
 3420000      518  6.6690446e-10      2978.8159 
 3430000      518  7.8718204e-10      2989.6999 
 3440000      518   7.821963e-10       3000.621 
 3450000      518  7.8445412e-10      3011.5602 
 3460000      518  6.4107232e-10      3022.4322 
 3470000      518  6.0480366e-10      3033.3436 
 3480000      518  5.0097156e-10      3045.9478 
 3490000      518  9.8516361e-10      3057.3966 
 3500000      518  9.9920945e-10      3068.3366 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 3500001
 - a total of 600 particle templates (mass 2.375044e-06) inserted so far.
 3510000      593  8.3131165e-10      3079.2983 
 3520000      593  1.0250597e-09      3090.2476 
 3530000      593  6.8519015e-10      3101.1459 
 3540000      593  7.3950286e-10      3112.1405 
 3550000      593  9.4727731e-10      3123.2978 
 3560000      593  1.0362893e-09       3134.487 
 3570000      593  6.8891381e-10      3145.7026 
 3580000      593  4.0845062e-10      3156.7289 
 3590000      593  4.5217508e-10       3167.752 
 3600000      593  7.2014491e-10      3179.9596 
 3610000      593  8.9829337e-10      3191.1457 
 3620000      593  5.6738634e-10      3202.2501 
 3630000      593  7.5176918e-10      3213.3377 
 3640000      593  6.6602942e-10      3225.2411 
 3650000      593  4.5485241e-10      3236.4076 
 3660000      593  6.0755921e-10      3247.5789 
 3670000      593  8.2982178e-10      3258.9133 
 3680000      593  5.3851747e-10      3270.1687 
 3690000      593  7.4679783e-10      3281.3781 
 3700000      593    7.41669e-10      3292.6023 
 3710000      593   9.112811e-10       3304.908 
 3720000      593  9.3093842e-10      3316.7091 
 3730000      593  8.8002404e-10      3328.0965 
 3740000      593  8.1251672e-10      3339.5925 
 3750000      593  9.3472075e-10      3350.8485 
 3760000      593   8.552825e-10      3362.1515 
 3770000      593  5.5278155e-10      3373.4386 
 3780000      593  6.0794795e-10       3384.771 
 3790000      593  4.2348525e-10      3396.6473 
 3800000      593  5.7132191e-10      3407.9239 
 3810000      593  7.4068121e-10      3419.1943 
 3820000      593  8.0575847e-10       3431.508 
 3830000      593  6.5407457e-10      3442.8387 
 3840000      593  4.3682806e-10      3454.0279 
 3850000      593  6.5001815e-10      3465.2359 
 3860000      593   4.425954e-10      3476.4834 
 3870000      593   7.287414e-10      3487.6953 
 3880000      593  7.3753606e-10       3499.035 
 3890000      593  7.2907831e-10       3510.463 
 3900000      593  5.1681048e-10      3521.7783 
 3910000      593  4.9912824e-10      3533.0646 
 3920000      593  4.5878226e-10      3544.3613 
 3930000      593  5.3489738e-10      3556.7243 
 3940000      593  8.4703228e-10      3568.2635 
 3950000      593  2.1299703e-09      3581.1039 
 3960000      593  1.5608043e-09      3592.9233 
 3970000      593  1.1807351e-09       3604.711 
 3980000      593  1.0470022e-09      3616.3943 
 3990000      593   5.198231e-10      3627.8542 
 4000000      593  8.2608111e-10      3639.5711 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 4000001
 - a total of 675 particle templates (mass 2.671925e-06) inserted so far.
