t,in_mass_flow,out_mass_flow
2.49,2.93215314335032e-05,0
2.495,2.93215314335032e-05,0
2.5,0,0
2.505,2.93215314335032e-05,0
2.51,5.86430628670064e-05,0
2.515,0,0
2.52,2.93215314335032e-05,0
2.525,2.93215314335032e-05,0
2.53,5.86430628670064e-05,0
2.535,0,0
2.54,8.79645943005096e-05,0
2.545,2.93215314335032e-05,0
2.55,2.93215314335032e-05,0
2.555,0,0
2.56,0,0
2.565,8.79645943005096e-05,0
2.57,0,0
2.575,0,0
2.58,0,0
2.585,5.86430628670064e-05,0
2.59,2.93215314335032e-05,0
2.595,5.86430628670064e-05,0
2.6,5.86430628670064e-05,0
2.605,2.93215314335032e-05,0
2.61,2.93215314335032e-05,0
2.615,0,0
2.62,0,0
2.625,0,0
2.63,0,0
2.635,2.93215314335032e-05,0
2.64,2.93215314335032e-05,0
2.645,8.79645943005096e-05,0
2.65,5.86430628670064e-05,0
2.655,0,0
2.66,2.93215314335032e-05,0
2.665,0,0
2.67,2.93215314335032e-05,0
2.675,0,0
2.68,0,0
2.685,0,0
2.69,0,0
2.695,5.86430628670064e-05,0
2.7,0,0
2.705,0,0
2.71,2.93215314335032e-05,0
2.715,0,0
2.72,0,0
2.725,2.93215314335032e-05,0
2.73,5.86430628670064e-05,0
2.735,2.93215314335032e-05,0
2.74,5.86430628670064e-05,0
2.745,2.93215314335032e-05,0
2.75,0,0
2.755,0.000205250720034522,0
2.76,5.86430628670064e-05,0
2.765,0,0
2.77,5.86430628670064e-05,0
2.775,2.93215314335032e-05,0
2.78,2.93215314335032e-05,0
2.785,0,0
2.79,8.79645943005082e-05,0
2.795,5.86430628670064e-05,0
2.8,2.93215314335032e-05,0
2.805,0,0
2.81,2.93215314335032e-05,0
2.815,0,0
2.82,0,0
2.825,2.93215314335032e-05,0
2.83,5.86430628670064e-05,0
2.835,5.86430628670064e-05,0
2.84,5.86430628670064e-05,0
2.845,5.86430628670064e-05,0
2.85,2.93215314335032e-05,0
2.855,2.93215314335032e-05,0
2.86,5.86430628670064e-05,0
2.865,8.79645943005096e-05,0
2.87,0,0
