t,in_mass_flow,out_mass_flow
1.5,2.93215314335032e-05,0
1.505,8.79645943005096e-05,0
1.51,2.93215314335032e-05,0
1.515,0,0
1.52,8.79645943005096e-05,0
1.525,5.86430628670064e-05,0
1.53,2.93215314335032e-05,0
1.535,8.79645943005096e-05,0
1.54,2.93215314335032e-05,0
1.545,2.93215314335032e-05,0
1.55,2.93215314335032e-05,0
1.555,0,0
1.56,2.93215314335032e-05,0
1.565,0,0
1.57,8.79645943005096e-05,0
1.575,2.93215314335032e-05,0
1.58,2.93215314335032e-05,0
1.585,0,0
1.59,2.93215314335032e-05,0
1.595,5.86430628670064e-05,0
1.6,2.93215314335032e-05,0
1.605,0.000117286125734013,0
1.61,5.86430628670064e-05,0
1.615,0,0
1.62,8.79645943005096e-05,0
1.625,8.79645943005096e-05,0
1.63,0.000117286125734013,0
1.635,2.93215314335032e-05,0
1.64,0.000117286125734013,0
1.645,0.000117286125734013,0
1.65,5.86430628670064e-05,0
1.655,2.93215314335032e-05,0
1.66,2.93215314335032e-05,0
1.665,2.93215314335032e-05,0
1.67,5.86430628670064e-05,0
1.675,2.93215314335032e-05,0
1.68,5.86430628670064e-05,0
1.685,0,0
1.69,0,0
1.695,5.86430628670064e-05,0
1.7,2.93215314335032e-05,0
1.705,0,0
1.71,2.93215314335032e-05,0
1.715,8.79645943005096e-05,0
1.72,5.86430628670064e-05,0
1.725,0,0
1.73,0,0
1.735,0.000146607657167516,0
1.74,8.79645943005096e-05,0
1.745,0,0
1.75,5.86430628670064e-05,0
1.755,8.79645943005096e-05,0
1.76,2.93215314335032e-05,0
1.765,5.86430628670064e-05,0
1.77,2.93215314335032e-05,0
1.775,5.86430628670064e-05,0
1.78,0,0
1.785,0,0
1.79,8.79645943005096e-05,0
1.795,5.86430628670064e-05,0
1.8,2.93215314335032e-05,0
1.805,5.86430628670064e-05,0
1.81,2.93215314335032e-05,0
1.815,2.93215314335032e-05,0
1.82,5.86430628670064e-05,0
1.825,2.93215314335032e-05,0
1.83,5.86430628670064e-05,0
1.835,0.000117286125734013,0
1.84,2.93215314335032e-05,0
1.845,5.86430628670064e-05,0
1.85,8.79645943005096e-05,0
1.855,5.86430628670064e-05,0
1.86,5.86430628670064e-05,0
1.865,2.93215314335032e-05,0
1.87,2.93215314335032e-05,0
1.875,0,0
1.88,2.93215314335032e-05,0
1.885,2.93215314335032e-05,0
1.89,5.86430628670064e-05,0
1.895,2.93215314335032e-05,0
1.9,0,0
1.905,2.93215314335032e-05,0
1.91,2.93215314335032e-05,0
1.915,0,0
1.92,2.93215314335032e-05,0
1.925,0,0
1.93,2.93215314335032e-05,0
1.935,5.86430628670064e-05,0
1.94,2.93215314335032e-05,0
1.945,0,0
1.95,5.86430628670064e-05,0
1.955,0,0
1.96,0,0
1.965,0,0
1.97,5.86430628670064e-05,0
1.975,0,0
1.98,0,0
1.985,0,0
1.99,0,0
1.995,2.93215314335032e-05,0
2,5.86430628670064e-05,0
2.005,2.93215314335032e-05,0
2.01,8.79645943005096e-05,0
2.015,0,0
2.02,2.93215314335032e-05,0
2.025,2.93215314335032e-05,0
2.03,2.93215314335032e-05,0
2.035,2.93215314335032e-05,0
2.04,0,0
2.045,8.79645943005096e-05,0
2.05,0,0
2.055,0,0
2.06,2.93215314335032e-05,0
2.065,0,0
2.07,0,0
2.075,2.93215314335032e-05,0
2.08,2.93215314335032e-05,0
2.085,2.93215314335032e-05,0
2.09,0,0
2.095,8.79645943005096e-05,0
2.1,5.86430628670064e-05,0
2.105,0.000117286125734013,0
2.11,0,0
2.115,0,0
2.12,0,0
2.125,2.93215314335032e-05,0
2.13,2.93215314335032e-05,0
2.135,0,0
2.14,5.86430628670064e-05,0
2.145,2.93215314335032e-05,0
2.15,0,0
2.155,8.79645943005096e-05,0
2.16,0,0
2.165,0,0
2.17,2.93215314335032e-05,0
2.175,5.8643062867005e-05,0
2.18,0,0
2.185,0,0
2.19,0,0
2.195,5.86430628670064e-05,0
2.2,0,0
2.205,0,0
2.21,2.93215314335032e-05,0
2.215,2.93215314335032e-05,0
2.22,0,0
2.225,5.86430628670064e-05,0
2.23,2.93215314335032e-05,0
2.235,2.93215314335032e-05,0
2.24,5.86430628670064e-05,0
2.245,2.93215314335032e-05,0
2.25,2.93215314335032e-05,0
2.255,0,0
2.26,0,0
2.265,0,0
2.27,0,0
2.275,0,0
2.28,0,0
2.285,0,0
2.29,0,0
2.295,0,0
2.3,2.93215314335032e-05,0
2.305,0,0
2.31,0,0
2.315,0,0
2.32,0,0
2.325,0,0
2.33,2.93215314335032e-05,0
2.335,5.86430628670064e-05,0
2.34,8.79645943005096e-05,0
2.345,0,0
2.35,0,0
2.355,0,0
2.36,0,0
2.365,2.93215314335032e-05,0
